Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_1472900,40,3
PF3D7_1473000,96,9
PF3D7_1473100,305,8
PF3D7_1473200,376,19
PF3D7_1473300,646,20
PF3D7_1473400,582,25
PF3D7_1473500,500,18
PF3D7_1473600,17,1
PF3D7_1473700,652,32
PF3D7_1473900,856,20
PF3D7_1474000,1868,42
PF3D7_1474100,18,1
PF3D7_1474200,3288,32
PF3D7_1474300,683,21
PF3D7_1474400,1402,24
PF3D7_1474500,489,24
PF3D7_1474600,79,4
PF3D7_1474700,536,22
PF3D7_1474800,56,4
PF3D7_1474900,41,2
PF3D7_1475000,24,2
PF3D7_1475100,1251,25
PF3D7_1475200,935,39
PF3D7_1475300,76,6
PF3D7_1475400,2688,29
PF3D7_1475500,307,16
PF3D7_1475600,269,14
PF3D7_1475700,72,6
PF3D7_1475800,1975,91
PF3D7_1475900,2016,53
PF3D7_1476000,30,5
PF3D7_1476100,38,15
PF3D7_1476200,285,16
PF3D7_1476300,362,39
PF3D7_1476500,273,13
PF3D7_1476600,1291,48
PF3D7_1476700,132,4
PF3D7_1476800,135,8
PF3D7_1477100,272,16
PF3D7_1477200,398,21
PF3D7_1477300,174,9
PF3D7_1477400,120,9
PF3D7_1477500,322,42
PF3D7_1477600,4,0
PF3D7_1477700,136,14
PF3D7_1477800,52,4
PF3D7_1478000,242,27
PF3D7_1478100,158,18
PF3D7_1478600,77,1
PF3D7_1478800,162,12
PF3D7_1479000,787,37
